,Tight,Loose,Degran
Up_Extra,4.04E+05,1.22E+03,4.27E+04
Up_Hole,1.84E+05,1.96E+02,4.83E+03
Up_Intra,9.85E+04,2.97E+05,1.93E+02
Down_Extra,6.78E+05,1.28E+04,6.55E+04
Down_Hole,2.56E+05,6.02E+02,1.12E+03
Down_Intra,6.51E+04,2.98E+05,1.34E+02
