,Tight,Loose,Degran
Up_Extra,1.10E+06,2.29E+01,1.86E+05
Up_Hole,2.21E+05,4.47E+03,3.10E+04
Up_Intra,1.09E+05,1.24E+05,2.00E+04
Down_Extra,9.97E+05,0.00E+00,1.14E+05
Down_Hole,3.20E+05,1.56E+03,2.61E+04
Down_Intra,1.10E+05,1.34E+05,2.69E+04
