,Tight,Loose,Degran
Up_Extra,1.47E+05,0.00E+00,3.39E+04
Up_Hole,1.34E+05,1.36E+01,2.35E+04
Up_Intra,6.14E+04,6.41E+03,3.50E+03
Down_Extra,1.35E+05,0.00E+00,1.31E+04
Down_Hole,2.31E+05,1.06E+01,1.88E+04
Down_Intra,3.68E+04,4.84E+03,1.99E+03
