,Tight,Loose,Degran
Up_Extra,4.79E+05,0.00E+00,2.95E+04
Up_Hole,2.51E+05,3.86E+02,2.55E+04
Up_Intra,2.72E+05,4.30E+04,5.44E+04
Down_Extra,6.69E+05,0.00E+00,1.45E+04
Down_Hole,2.81E+05,5.57E+03,3.22E+04
Down_Intra,1.15E+05,4.96E+04,2.84E+04
