,Tight,Loose,Degran
Up_Extra,5.49E+05,7.53E+04,7.49E+04
Up_Hole,3.22E+04,9.04E+04,3.40E+03
Up_Intra,1.29E+04,4.33E+05,1.54E+03
Down_Extra,4.76E+05,1.51E+05,5.63E+04
Down_Hole,3.62E+04,1.15E+05,1.05E+04
Down_Intra,1.63E+04,4.76E+05,1.16E+02
