,Tight,Loose,Degran
Up_Extra,4.12E+05,5.12E+04,1.28E+03
Up_Hole,1.44E+05,7.03E+04,9.03E+03
Up_Intra,5.71E+04,3.20E+05,1.02E+04
Down_Extra,5.64E+05,9.02E+04,7.38E+03
Down_Hole,1.55E+05,1.10E+05,1.26E+04
Down_Intra,5.03E+04,2.36E+05,4.21E+03
