,Tight,Loose,Degran
Up_Extra,7.22E+05,0.00E+00,2.41E+04
Up_Hole,9.79E+04,2.05E+02,2.13E+03
Up_Intra,2.49E+05,3.17E+05,1.27E+04
Down_Extra,5.44E+05,0.00E+00,1.52E+04
Down_Hole,1.02E+05,3.84E-01,8.39E+03
Down_Intra,5.14E+05,3.70E+05,4.74E+04
