,Tight,Loose,Degran
Up_Extra,8.11E+05,7.41E+01,8.20E+04
Up_Hole,3.05E+05,1.99E+04,5.41E+04
Up_Intra,1.67E+06,3.88E+05,3.62E+05
Down_Extra,9.67E+05,0.00E+00,1.64E+05
Down_Hole,1.80E+05,0.00E+00,1.04E+05
Down_Intra,2.05E+06,2.47E+05,9.16E+05
