,Tight,Loose,Degran
Up_Extra,4.46E+05,0.00E+00,1.16E+04
Up_Hole,4.11E+05,3.71E+02,2.49E+04
Up_Intra,7.38E+05,3.02E+05,1.71E+05
Down_Extra,8.33E+05,0.00E+00,8.57E+04
Down_Hole,7.88E+05,3.68E+05,5.41E+04
Down_Intra,2.02E+06,5.50E+05,6.17E+05
