,Tight,Loose,Degran
Up_Extra,1.22E+06,1.53E+05,4.21E+04
Up_Hole,3.71E+05,4.41E+04,1.41E+04
Up_Intra,1.64E+05,5.99E+04,4.43E+03
Down_Extra,5.70E+05,5.57E+04,2.27E+04
Down_Hole,5.13E+05,2.30E+04,2.56E+04
Down_Intra,2.60E+05,4.31E+04,1.92E+04
