,Tight,Loose,Degran
Up_Extra,2.45E+05,9.02E+02,7.98E+02
Up_Hole,2.79E+05,3.12E+01,5.12E+03
Up_Intra,1.27E+05,9.22E+00,4.84E+03
Down_Extra,1.09E+05,3.63E+03,2.10E+03
Down_Hole,3.15E+05,1.71E+04,7.12E+03
Down_Intra,5.33E+05,7.00E+03,6.91E+04
