,Tight,Loose,Degran
Up_Extra,1.35E+05,1.40E+04,3.36E+04
Up_Hole,8.58E+04,1.58E+03,1.22E+04
Up_Intra,9.68E+04,2.14E+04,3.59E+03
Down_Extra,8.76E+04,5.74E+03,3.00E+04
Down_Hole,1.23E+05,2.01E+03,2.52E+04
Down_Intra,7.18E+04,1.91E+04,2.33E+03
